risk_type,country,keyword,query,title,url,domain,language,source_country,published_at,collected_at
operation,Germany,strike,"""Germany"" strike",Svarbi NATO pajėgų Europoje vado žinia Lietuvai : JAV apie tai paskelbs artimiausiomis dienomis,https://www.lrytas.lt/pasaulis/ivykiai/2026/05/13/news/svarbi-nato-pajegu-europoje-vado-zinia-lietuvai-jav-apie-tai-paskelbs-artimiausiomis-dienomis-42406879/,lrytas.lt,Lithuanian,,20260513T101500Z,2026-05-15T02:02:15.005579
operation,Germany,strike,"""Germany"" strike",Streik im Einzelhandel : Verdi ruft bundesweit dazu auf – was bekannt ist,https://www.abendblatt.de/wirtschaft/article411992850/schliessungen-drohen-verdi-ruft-zum-bundesweiten-streik-im-einzelhandel-auf.html,abendblatt.de,German,,20260513T183000Z,2026-05-15T02:02:15.005581
operation,Germany,strike,"""Germany"" strike",Streik im Einzelhandel : Verdi ruft bundesweit dazu auf – was bekannt ist,https://www.morgenpost.de/wirtschaft/article411992850/schliessungen-drohen-verdi-ruft-zum-bundesweiten-streik-im-einzelhandel-auf.html,morgenpost.de,German,,20260513T194500Z,2026-05-15T02:02:15.005583
operation,Germany,strike,"""Germany"" strike",報復境內遇襲 沙烏地阿拉伯多次祕密軍事打擊伊朗 | 國際,https://www.cna.com.tw:443/news/aopl/202605140105.aspx,cna.com.tw,Chinese,,20260514T063000Z,2026-05-15T02:02:15.005585
operation,Germany,strike,"""Germany"" strike",報復境內遇襲 沙烏地阿拉伯多次祕密軍事打擊伊朗 | 國際,https://www.cna.com.tw/news/aopl/202605140105.aspx,cna.com.tw,Chinese,,20260514T071500Z,2026-05-15T02:02:15.005587
operation,Germany,strike,"""Germany"" strike",Мерц осудил новые атаки РФ на Украину,https://korrespondent.net/world/4878681-merts-osudyl-novye-ataky-rf-na-ukraynu,korrespondent.net,Russian,,20260514T184500Z,2026-05-15T02:02:15.005593
operation,Germany,strike,"""Germany"" strike",2차 이란 전쟁 작전명  슬레지해머  [ 김태훈의 의미 또는 재미 ] ,https://segye.com:443/newsView/20260513514240,segye.com,Korean,,20260513T234500Z,2026-05-15T02:02:15.005595
operation,Germany,strike,"""Germany"" strike",Ukraine and Germany sign LoI for joint defence tech development,https://www.airforce-technology.com/news/ukraine-germany-defence-technology-development/,airforce-technology.com,English,,20260512T190000Z,2026-05-15T02:02:15.005597
operation,Germany,strike,"""Germany"" strike",沙國報復性襲擊伊朗 以戰止戰奏效 - 國際新聞,https://www.chinatimes.com/newspapers/20260514000929-260301,chinatimes.com,Chinese,,20260513T230000Z,2026-05-15T02:02:15.005599
operation,Germany,strike,"""Germany"" strike",赖清德再度缺席  弹劾审查会 ， 黄国昌呛 ： 傲慢自大会被民意教训 _ 凤凰网,https://news.ifeng.com/c/8t5zM14iazj,news.ifeng.com,Chinese,,20260513T090000Z,2026-05-15T02:02:15.005601
operation,Germany,strike,"""Germany"" strike",Лавров : Американцы хотят задешево выкупить « Северные потоки » у европейцев,https://www.pnp.ru/politics/lavrov-ssha-khotyat-zadeshevo-vykupit-severnye-potoki-u-evropeycev.html,pnp.ru,Russian,,20260513T084500Z,2026-05-15T02:02:15.005602
operation,Germany,strike,"""Germany"" strike",美光股价大涨6 % 再刷新高 德银 ： 1000美元见 ！ _ 东方财富网,https://finance.eastmoney.com/a/202605123734220518.html,finance.eastmoney.com,Chinese,,20260512T033000Z,2026-05-15T02:02:15.005604
